product_id,category,style,finish,size_class,main_material,active_flag,launch_year,product_name
FG-00001,Bed,Industrial,Matte Gray,L,Oak Wood,1,2019,Industrial Bed - Matte Gray (L)
FG-00002,Chair,Minimalist,White,S,Birch Plywood,1,2022,Minimalist Chair - White (S)
FG-00003,Sofa,Mid-century,Black,L,Bamboo,1,2020,Mid-century Sofa - Black (L)
FG-00004,Table,Industrial,Glossy White,S,Birch Plywood,1,2020,Industrial Table - Glossy White (S)
FG-00005,Table,Industrial,Walnut,M,Pine Wood,1,2020,Industrial Table - Walnut (M)
FG-00006,Kitchen Cabinet,Modern,White,XL,Birch Plywood,1,2024,Modern Kitchen Cabinet - White (XL)
FG-00007,Chair,Mid-century,White,L,Steel,1,2022,Mid-century Chair - White (L)
FG-00008,Bookshelf,Minimalist,White,XL,Birch Plywood,1,2025,Minimalist Bookshelf - White (XL)
FG-00009,Kitchen Cabinet,Minimalist,Natural,M,Aluminum,0,2020,Minimalist Kitchen Cabinet - Natural (M)
FG-00010,Wardrobe,Industrial,Matte Gray,S,MDF,0,2019,Industrial Wardrobe - Matte Gray (S)
FG-00011,TV Stand,Modern,Walnut,M,Steel,1,2020,Modern TV Stand - Walnut (M)
FG-00012,Table,Minimalist,Walnut,L,Pine Wood,1,2022,Minimalist Table - Walnut (L)
FG-00013,Chair,Classic,Black,S,MDF,1,2019,Classic Chair - Black (S)
FG-00014,Wardrobe,Minimalist,Espresso,L,Birch Plywood,1,2020,Minimalist Wardrobe - Espresso (L)
FG-00015,Coffee Table,Modern,Matte Gray,M,Walnut Wood,1,2024,Modern Coffee Table - Matte Gray (M)
FG-00016,Table,Mid-century,White,XL,Aluminum,1,2025,Mid-century Table - White (XL)
FG-00017,Sofa,Rustic,Black,M,Pine Wood,1,2021,Rustic Sofa - Black (M)
FG-00018,TV Stand,Industrial,Black,M,Birch Plywood,1,2019,Industrial TV Stand - Black (M)
FG-00019,Table,Classic,Walnut,M,Walnut Wood,1,2020,Classic Table - Walnut (M)
FG-00020,Bathroom Vanity,Mid-century,Espresso,M,Aluminum,1,2024,Mid-century Bathroom Vanity - Espresso (M)
FG-00021,Bathroom Vanity,Mid-century,Glossy White,XL,Steel,1,2025,Mid-century Bathroom Vanity - Glossy White (XL)
FG-00022,Bed,Classic,Glossy White,M,Oak Wood,0,2020,Classic Bed - Glossy White (M)
FG-00023,Wardrobe,Classic,Walnut,L,Pine Wood,1,2024,Classic Wardrobe - Walnut (L)
FG-00024,TV Stand,Industrial,Black,M,Pine Wood,1,2023,Industrial TV Stand - Black (M)
FG-00025,Nightstand,Rustic,Black,S,Oak Wood,1,2020,Rustic Nightstand - Black (S)
FG-00026,Nightstand,Classic,White,M,Aluminum,1,2023,Classic Nightstand - White (M)
FG-00027,Wardrobe,Mid-century,Natural,M,Steel,1,2025,Mid-century Wardrobe - Natural (M)
FG-00028,Table,Scandinavian,Oak,M,Steel,1,2024,Scandinavian Table - Oak (M)
FG-00029,Office Desk,Minimalist,Natural,M,Birch Plywood,1,2024,Minimalist Office Desk - Natural (M)
FG-00030,Table,Mid-century,Natural,M,Birch Plywood,1,2019,Mid-century Table - Natural (M)
FG-00031,Coffee Table,Modern,Matte Gray,M,MDF,1,2022,Modern Coffee Table - Matte Gray (M)
FG-00032,Coffee Table,Mid-century,White,XS,Steel,1,2022,Mid-century Coffee Table - White (XS)
FG-00033,Office Desk,Scandinavian,Espresso,S,Pine Wood,1,2025,Scandinavian Office Desk - Espresso (S)
FG-00034,TV Stand,Industrial,Glossy White,M,Oak Wood,1,2019,Industrial TV Stand - Glossy White (M)
FG-00035,Sofa,Modern,White,M,MDF,1,2022,Modern Sofa - White (M)
FG-00036,Chair,Classic,Glossy White,XL,Pine Wood,1,2019,Classic Chair - Glossy White (XL)
FG-00037,Sofa,Rustic,Matte Gray,L,Aluminum,1,2021,Rustic Sofa - Matte Gray (L)
FG-00038,Kitchen Cabinet,Scandinavian,Black,M,Pine Wood,1,2020,Scandinavian Kitchen Cabinet - Black (M)
FG-00039,Table,Mid-century,Oak,L,Aluminum,1,2021,Mid-century Table - Oak (L)
FG-00040,Office Desk,Mid-century,White,M,Oak Wood,1,2020,Mid-century Office Desk - White (M)
FG-00041,Chair,Industrial,Natural,XS,Oak Wood,1,2021,Industrial Chair - Natural (XS)
FG-00042,Wardrobe,Industrial,White,L,Birch Plywood,1,2025,Industrial Wardrobe - White (L)
FG-00043,Chair,Classic,Black,L,MDF,1,2023,Classic Chair - Black (L)
FG-00044,Chair,Classic,Matte Gray,L,Aluminum,1,2022,Classic Chair - Matte Gray (L)
FG-00045,Bookshelf,Mid-century,Walnut,XL,Birch Plywood,1,2025,Mid-century Bookshelf - Walnut (XL)
FG-00046,Office Desk,Rustic,Black,L,Steel,1,2020,Rustic Office Desk - Black (L)
FG-00047,Table,Modern,Walnut,L,Steel,1,2021,Modern Table - Walnut (L)
FG-00048,Office Desk,Industrial,Espresso,XS,Aluminum,1,2022,Industrial Office Desk - Espresso (XS)
FG-00049,TV Stand,Mid-century,Matte Gray,XL,Walnut Wood,1,2020,Mid-century TV Stand - Matte Gray (XL)
FG-00050,Bathroom Vanity,Scandinavian,Natural,M,Birch Plywood,1,2019,Scandinavian Bathroom Vanity - Natural (M)
FG-00051,Bathroom Vanity,Minimalist,Black,M,Pine Wood,1,2021,Minimalist Bathroom Vanity - Black (M)
FG-00052,Chair,Mid-century,Oak,L,Birch Plywood,1,2020,Mid-century Chair - Oak (L)
FG-00053,Bathroom Vanity,Modern,Oak,M,Walnut Wood,1,2023,Modern Bathroom Vanity - Oak (M)
FG-00054,Bed,Rustic,Matte Gray,M,Pine Wood,1,2023,Rustic Bed - Matte Gray (M)
FG-00055,TV Stand,Industrial,White,XL,Steel,1,2020,Industrial TV Stand - White (XL)
FG-00056,Bathroom Vanity,Modern,Espresso,L,Oak Wood,1,2023,Modern Bathroom Vanity - Espresso (L)
FG-00057,Chair,Minimalist,White,XL,Pine Wood,1,2020,Minimalist Chair - White (XL)
FG-00058,Bookshelf,Mid-century,Oak,S,Pine Wood,0,2023,Mid-century Bookshelf - Oak (S)
FG-00059,Office Desk,Minimalist,Oak,M,Pine Wood,1,2020,Minimalist Office Desk - Oak (M)
FG-00060,Chair,Industrial,Glossy White,L,Bamboo,1,2025,Industrial Chair - Glossy White (L)
FG-00061,Chair,Scandinavian,White,XS,MDF,1,2020,Scandinavian Chair - White (XS)
FG-00062,Table,Classic,Oak,L,MDF,1,2025,Classic Table - Oak (L)
FG-00063,Office Desk,Minimalist,Glossy White,M,Birch Plywood,1,2024,Minimalist Office Desk - Glossy White (M)
FG-00064,Table,Mid-century,Black,M,Aluminum,1,2024,Mid-century Table - Black (M)
FG-00065,Chair,Classic,Walnut,S,Walnut Wood,1,2019,Classic Chair - Walnut (S)
FG-00066,Bathroom Vanity,Scandinavian,Walnut,M,Birch Plywood,1,2022,Scandinavian Bathroom Vanity - Walnut (M)
FG-00067,Chair,Rustic,Black,L,Bamboo,1,2025,Rustic Chair - Black (L)
FG-00068,Chair,Minimalist,Oak,XL,Aluminum,1,2024,Minimalist Chair - Oak (XL)
FG-00069,Table,Industrial,Natural,XL,Steel,1,2020,Industrial Table - Natural (XL)
FG-00070,Table,Rustic,Oak,XL,Steel,0,2020,Rustic Table - Oak (XL)
FG-00071,Sofa,Mid-century,Espresso,XL,Oak Wood,1,2022,Mid-century Sofa - Espresso (XL)
FG-00072,Table,Classic,Glossy White,L,Aluminum,1,2025,Classic Table - Glossy White (L)
FG-00073,Coffee Table,Modern,Matte Gray,M,Steel,1,2019,Modern Coffee Table - Matte Gray (M)
FG-00074,Table,Mid-century,Oak,M,Walnut Wood,1,2020,Mid-century Table - Oak (M)
FG-00075,Chair,Classic,Espresso,S,Steel,1,2023,Classic Chair - Espresso (S)
FG-00076,Chair,Industrial,Walnut,M,Aluminum,1,2025,Industrial Chair - Walnut (M)
FG-00077,TV Stand,Rustic,Black,M,Bamboo,1,2022,Rustic TV Stand - Black (M)
FG-00078,Office Desk,Modern,Oak,M,Bamboo,1,2019,Modern Office Desk - Oak (M)
FG-00079,Table,Minimalist,Oak,L,Steel,1,2023,Minimalist Table - Oak (L)
FG-00080,Table,Industrial,Oak,XS,Steel,1,2024,Industrial Table - Oak (XS)
FG-00081,Table,Minimalist,Matte Gray,XL,Steel,1,2020,Minimalist Table - Matte Gray (XL)
FG-00082,Bathroom Vanity,Modern,Natural,XS,Pine Wood,0,2022,Modern Bathroom Vanity - Natural (XS)
FG-00083,Office Desk,Minimalist,White,M,Oak Wood,1,2019,Minimalist Office Desk - White (M)
FG-00084,Kitchen Cabinet,Mid-century,White,S,Pine Wood,1,2024,Mid-century Kitchen Cabinet - White (S)
FG-00085,Nightstand,Rustic,Matte Gray,XS,Birch Plywood,1,2023,Rustic Nightstand - Matte Gray (XS)
FG-00086,Nightstand,Minimalist,Oak,M,Pine Wood,1,2022,Minimalist Nightstand - Oak (M)
FG-00087,Sofa,Modern,Espresso,M,MDF,0,2019,Modern Sofa - Espresso (M)
FG-00088,Table,Scandinavian,Matte Gray,S,Aluminum,1,2024,Scandinavian Table - Matte Gray (S)
FG-00089,Office Desk,Scandinavian,Walnut,L,Aluminum,1,2024,Scandinavian Office Desk - Walnut (L)
FG-00090,Office Desk,Rustic,Walnut,S,Pine Wood,1,2023,Rustic Office Desk - Walnut (S)
FG-00091,Kitchen Cabinet,Minimalist,Glossy White,XL,Bamboo,1,2022,Minimalist Kitchen Cabinet - Glossy White (XL)
FG-00092,Chair,Rustic,Matte Gray,L,Pine Wood,1,2023,Rustic Chair - Matte Gray (L)
FG-00093,Chair,Scandinavian,Natural,M,Steel,1,2025,Scandinavian Chair - Natural (M)
FG-00094,Coffee Table,Minimalist,Oak,XS,Pine Wood,1,2025,Minimalist Coffee Table - Oak (XS)
FG-00095,Coffee Table,Scandinavian,Black,XL,Pine Wood,1,2020,Scandinavian Coffee Table - Black (XL)
FG-00096,Office Desk,Classic,White,S,Walnut Wood,1,2019,Classic Office Desk - White (S)
FG-00097,Office Desk,Scandinavian,Glossy White,L,Pine Wood,1,2022,Scandinavian Office Desk - Glossy White (L)
FG-00098,Nightstand,Modern,Black,M,MDF,1,2025,Modern Nightstand - Black (M)
FG-00099,Bookshelf,Mid-century,Walnut,M,Oak Wood,1,2023,Mid-century Bookshelf - Walnut (M)
FG-00100,Bathroom Vanity,Rustic,Glossy White,S,Bamboo,1,2022,Rustic Bathroom Vanity - Glossy White (S)
FG-00101,Bed,Scandinavian,Glossy White,M,Aluminum,1,2022,Scandinavian Bed - Glossy White (M)
FG-00102,Kitchen Cabinet,Mid-century,Espresso,XS,Birch Plywood,1,2023,Mid-century Kitchen Cabinet - Espresso (XS)
FG-00103,Table,Scandinavian,Matte Gray,L,Birch Plywood,1,2025,Scandinavian Table - Matte Gray (L)
FG-00104,Bed,Scandinavian,Matte Gray,L,Aluminum,1,2023,Scandinavian Bed - Matte Gray (L)
FG-00105,Bookshelf,Classic,Walnut,S,Walnut Wood,1,2023,Classic Bookshelf - Walnut (S)
FG-00106,Nightstand,Scandinavian,Black,M,Steel,1,2021,Scandinavian Nightstand - Black (M)
FG-00107,Wardrobe,Industrial,Matte Gray,S,Bamboo,1,2025,Industrial Wardrobe - Matte Gray (S)
FG-00108,Wardrobe,Scandinavian,Matte Gray,L,Pine Wood,1,2022,Scandinavian Wardrobe - Matte Gray (L)
FG-00109,Coffee Table,Mid-century,Glossy White,S,Oak Wood,1,2020,Mid-century Coffee Table - Glossy White (S)
FG-00110,Chair,Classic,Oak,S,Bamboo,1,2025,Classic Chair - Oak (S)
FG-00111,Kitchen Cabinet,Minimalist,Natural,M,Pine Wood,1,2024,Minimalist Kitchen Cabinet - Natural (M)
FG-00112,Nightstand,Mid-century,Espresso,XL,Steel,1,2022,Mid-century Nightstand - Espresso (XL)
FG-00113,Chair,Scandinavian,Matte Gray,L,Aluminum,1,2024,Scandinavian Chair - Matte Gray (L)
FG-00114,Table,Industrial,Natural,M,Bamboo,0,2025,Industrial Table - Natural (M)
FG-00115,Sofa,Mid-century,Black,L,Steel,1,2025,Mid-century Sofa - Black (L)
FG-00116,Chair,Minimalist,Glossy White,M,MDF,1,2019,Minimalist Chair - Glossy White (M)
FG-00117,Sofa,Minimalist,Matte Gray,S,Steel,1,2022,Minimalist Sofa - Matte Gray (S)
FG-00118,Bed,Minimalist,Walnut,XL,Birch Plywood,1,2023,Minimalist Bed - Walnut (XL)
FG-00119,Bed,Classic,Walnut,XS,Birch Plywood,1,2024,Classic Bed - Walnut (XS)
FG-00120,Bookshelf,Modern,Glossy White,L,Bamboo,1,2023,Modern Bookshelf - Glossy White (L)
FG-00121,Table,Scandinavian,Matte Gray,XL,Birch Plywood,1,2023,Scandinavian Table - Matte Gray (XL)
FG-00122,Wardrobe,Modern,Oak,S,Walnut Wood,1,2021,Modern Wardrobe - Oak (S)
FG-00123,Bed,Minimalist,Black,XL,Oak Wood,1,2025,Minimalist Bed - Black (XL)
FG-00124,Table,Classic,Natural,L,Birch Plywood,1,2019,Classic Table - Natural (L)
FG-00125,Bed,Minimalist,Glossy White,XS,Birch Plywood,1,2020,Minimalist Bed - Glossy White (XS)
FG-00126,Bookshelf,Industrial,Matte Gray,M,Bamboo,1,2024,Industrial Bookshelf - Matte Gray (M)
FG-00127,Chair,Mid-century,Espresso,M,Steel,1,2019,Mid-century Chair - Espresso (M)
FG-00128,Kitchen Cabinet,Minimalist,Oak,M,Steel,1,2024,Minimalist Kitchen Cabinet - Oak (M)
FG-00129,Chair,Mid-century,Matte Gray,M,Steel,1,2024,Mid-century Chair - Matte Gray (M)
FG-00130,Wardrobe,Mid-century,Black,M,Walnut Wood,1,2021,Mid-century Wardrobe - Black (M)
FG-00131,Wardrobe,Classic,Walnut,XS,Walnut Wood,1,2019,Classic Wardrobe - Walnut (XS)
FG-00132,Table,Mid-century,Natural,M,Steel,1,2019,Mid-century Table - Natural (M)
FG-00133,Office Desk,Industrial,Natural,M,Oak Wood,1,2023,Industrial Office Desk - Natural (M)
FG-00134,Bed,Rustic,Walnut,L,Bamboo,1,2024,Rustic Bed - Walnut (L)
FG-00135,Chair,Scandinavian,Natural,L,MDF,1,2023,Scandinavian Chair - Natural (L)
FG-00136,Chair,Scandinavian,Oak,L,MDF,1,2024,Scandinavian Chair - Oak (L)
FG-00137,Coffee Table,Modern,White,L,Bamboo,1,2019,Modern Coffee Table - White (L)
FG-00138,Coffee Table,Scandinavian,Walnut,XL,MDF,1,2024,Scandinavian Coffee Table - Walnut (XL)
FG-00139,Nightstand,Classic,Matte Gray,M,Oak Wood,1,2023,Classic Nightstand - Matte Gray (M)
FG-00140,Chair,Minimalist,Natural,M,Pine Wood,0,2024,Minimalist Chair - Natural (M)
FG-00141,Bathroom Vanity,Scandinavian,Walnut,XS,Aluminum,1,2020,Scandinavian Bathroom Vanity - Walnut (XS)
FG-00142,Table,Scandinavian,Black,L,Steel,1,2020,Scandinavian Table - Black (L)
FG-00143,Bookshelf,Modern,Natural,M,Birch Plywood,0,2022,Modern Bookshelf - Natural (M)
FG-00144,Table,Rustic,Matte Gray,S,MDF,1,2023,Rustic Table - Matte Gray (S)
FG-00145,Table,Industrial,Walnut,M,Pine Wood,1,2022,Industrial Table - Walnut (M)
FG-00146,Chair,Rustic,Oak,XL,Birch Plywood,1,2022,Rustic Chair - Oak (XL)
FG-00147,Nightstand,Scandinavian,Glossy White,L,MDF,1,2024,Scandinavian Nightstand - Glossy White (L)
FG-00148,Table,Modern,Matte Gray,M,Bamboo,1,2021,Modern Table - Matte Gray (M)
FG-00149,Chair,Classic,Natural,L,Oak Wood,1,2023,Classic Chair - Natural (L)
FG-00150,Coffee Table,Rustic,Walnut,M,Pine Wood,1,2021,Rustic Coffee Table - Walnut (M)
FG-00151,Office Desk,Minimalist,Oak,XS,Aluminum,1,2020,Minimalist Office Desk - Oak (XS)
FG-00152,Table,Modern,White,XS,Steel,1,2023,Modern Table - White (XS)
FG-00153,Bookshelf,Classic,Oak,XL,Oak Wood,1,2019,Classic Bookshelf - Oak (XL)
FG-00154,Nightstand,Scandinavian,Glossy White,S,Steel,1,2025,Scandinavian Nightstand - Glossy White (S)
FG-00155,Coffee Table,Minimalist,Matte Gray,L,Steel,1,2023,Minimalist Coffee Table - Matte Gray (L)
FG-00156,Chair,Mid-century,Black,XS,Oak Wood,1,2022,Mid-century Chair - Black (XS)
FG-00157,Chair,Rustic,Matte Gray,M,Steel,1,2022,Rustic Chair - Matte Gray (M)
FG-00158,Kitchen Cabinet,Minimalist,Natural,M,Birch Plywood,1,2021,Minimalist Kitchen Cabinet - Natural (M)
FG-00159,Nightstand,Scandinavian,Black,M,Walnut Wood,1,2025,Scandinavian Nightstand - Black (M)
FG-00160,Chair,Rustic,White,S,Oak Wood,1,2023,Rustic Chair - White (S)
FG-00161,Wardrobe,Mid-century,Oak,M,MDF,1,2020,Mid-century Wardrobe - Oak (M)
FG-00162,Kitchen Cabinet,Mid-century,Walnut,L,MDF,1,2023,Mid-century Kitchen Cabinet - Walnut (L)
FG-00163,Chair,Rustic,Black,M,Birch Plywood,0,2024,Rustic Chair - Black (M)
FG-00164,Bookshelf,Classic,Black,S,Pine Wood,1,2021,Classic Bookshelf - Black (S)
FG-00165,Office Desk,Modern,White,L,Steel,1,2025,Modern Office Desk - White (L)
FG-00166,Office Desk,Rustic,Espresso,XL,Walnut Wood,1,2023,Rustic Office Desk - Espresso (XL)
FG-00167,Kitchen Cabinet,Scandinavian,Walnut,M,Oak Wood,1,2021,Scandinavian Kitchen Cabinet - Walnut (M)
FG-00168,Chair,Scandinavian,Black,M,MDF,1,2023,Scandinavian Chair - Black (M)
FG-00169,Bathroom Vanity,Rustic,Matte Gray,XS,Oak Wood,1,2025,Rustic Bathroom Vanity - Matte Gray (XS)
FG-00170,Chair,Modern,Natural,XS,Aluminum,1,2024,Modern Chair - Natural (XS)
FG-00171,Table,Modern,Natural,M,MDF,1,2019,Modern Table - Natural (M)
FG-00172,Wardrobe,Modern,Matte Gray,S,Steel,1,2020,Modern Wardrobe - Matte Gray (S)
FG-00173,Chair,Classic,Natural,XL,Walnut Wood,1,2019,Classic Chair - Natural (XL)
FG-00174,Table,Modern,Black,L,Birch Plywood,1,2023,Modern Table - Black (L)
FG-00175,Sofa,Minimalist,White,M,Oak Wood,1,2025,Minimalist Sofa - White (M)
FG-00176,Coffee Table,Minimalist,White,M,Oak Wood,1,2021,Minimalist Coffee Table - White (M)
FG-00177,Table,Rustic,Oak,S,Birch Plywood,1,2022,Rustic Table - Oak (S)
FG-00178,Nightstand,Minimalist,Walnut,XL,Steel,1,2025,Minimalist Nightstand - Walnut (XL)
FG-00179,Table,Industrial,Oak,M,Birch Plywood,1,2020,Industrial Table - Oak (M)
FG-00180,Wardrobe,Rustic,White,L,Steel,1,2023,Rustic Wardrobe - White (L)
